gene	Chr	Length
ZNF20	19	47565
RSL24D1P8	19	492
RNA5SP467	19	118
ZNF625-ZNF20	19	24615
AC022415.1	19	1517
ZNF625	19	14640
ZNF136	19	26818
AC012618.3	19	42753
ZNF44	19	70202
AC012618.1	19	412
AC012618.2	19	849
ZNF563	19	16244
ZNF442	19	19957
RPS29P23	19	123
AC008758.4	19	22086
AC008758.3	19	3942
ZNF799	19	11256
AC008758.5	19	49134
ZNF443	19	11406
AC008758.6	19	51714
AC008758.2	19	9771
ZNF709	19	52671
AC008758.1	19	89916
MTND2P40	19	1432
MTCO1P27	19	226
MTCO2P27	19	1072
MTATP6P27	19	1782
PPIAP20	19	135
ZNF564	19	26173
AC010422.6	19	55256
AC010422.4	19	3206
AC010422.1	19	1048
PGK1P2	19	1535
ZNF490	19	62138
ZNF791	19	22923
RPL10P16	19	645
AC010422.3	19	4567
MAN2B1	19	20232
AC010422.5	19	4570
WDR83	19	9033
WDR83OS	19	3286
DHPS	19	6186
AC010422.2	19	4587
AC018761.5	19	425
FBXW9	19	8591
AC018761.4	19	317
TNPO2	19	24818
AC018761.1	19	370
C19orf43	19	4136
ASNA1	19	11185
BEST2	19	6757
HOOK2	19	109738
AC018761.3	19	563
MIR5684	19	65
JUNB	19	1820
PRDX2	19	5040
AC018761.2	19	5027
RNASEH2A	19	11576
AC020934.3	19	2232
RTBDN	19	9951
AC020934.1	19	7273
MAST1	19	41001
MIR6794	19	68
DNASE2	19	6258
AC020934.2	19	3120
KLF1	19	2759
GCDH	19	23182
RPS6P25	19	748
SYCE2	19	20491
MIR5695	19	85
FARSA	19	11559
FARSA-AS1	19	2775
CALR	19	5912
MIR6515	19	57
AC092069.1	19	370
RAD23A	19	7788
GADD45GIP1	19	4118
DAND5	19	9604
NFIX	19	103189
AC138474.1	19	850
AC007787.1	19	1583
AC007787.2	19	599
LYL1	19	4129
TRMT1	19	12666
NACC1	19	23039
AC005546.1	19	840
AC011446.1	19	1531
STX10	19	6326
IER2	19	4494
AC011446.2	19	1123
RPL12P42	19	830
CACNA1A	19	426584
CCDC130	19	31537
MRI1	19	9751
AC008686.1	19	2001
C19orf53	19	4295
ZSWIM4	19	36771
AC020916.2	19	360
RN7SL619P	19	258
AC020916.1	19	1774
MIR24-2	19	73
MIR27A	19	78
MIR23A	19	73
NANOS3	19	18695
MIR181C	19	110
MIR181D	19	137
C19orf57	19	24105
CC2D1A	19	24679
PODNL1	19	22206
DCAF15	19	8958
RFX1	19	45502
AC022098.4	19	352
RLN3	19	2895
AC022098.2	19	703
IL27RA	19	21469
PALM3	19	5795
EEF1DP1	19	896
MISP3	19	2527
MIR1199	19	119
C19orf67	19	4257
SAMD1	19	3197
PRKACA	19	26397
AC022098.3	19	432
ASF1B	19	17448
AC022098.1	19	34089
ADGRL1	19	58445
RN7SL231P	19	272
AC011509.2	19	39017
AC011509.1	19	1571
LINC01841	19	64739
LINC01842	19	10174
ADGRE5	19	28225
AC008569.1	19	6007
DDX39A	19	10565
PKN1	19	38815
AC008569.2	19	966
PTGER1	19	2897
GIPC1	19	18390
SNRPGP15	19	222
DNAJB1	19	15001
TECR	19	48896
MIR639	19	98
NDUFB7	19	5985
CLEC17A	19	28074
RN7SL337P	19	301
RN7SL842P	19	300
ADGRE3	19	70911
AC022149.1	19	609
AC022149.2	19	203
ZNF333	19	43946
ADGRE2	19	46149
AC005255.1	19	216
OR7A5	19	42887
OR7C1	19	1066
OR7A10	19	930
OR7A8P	19	913
OR7A2P	19	930
OR7A17	19	1027
OR7A18P	19	277
OR7A1P	19	910
OR7A3P	19	907
OR7A11P	19	953
OR7A15P	19	967
OR7C2	19	960
SLC1A6	19	72957
CCDC105	19	12526
CASP14	19	8910
OR1I1	19	1242
SYDE1	19	7586
ILVBL	19	10802
AC003956.1	19	2015
OR10B1P	19	907
RNU6-782P	19	104
NOTCH3	19	41944
MIR6795	19	68
AC004257.1	19	1283
EPHX3	19	6517
BRD4	19	97027
AC005776.1	19	290
AC005776.2	19	2350
AKAP8	19	26414
AC005785.1	19	2119
AKAP8L	19	39094
AC005785.2	19	631
AC006128.1	19	1661
WIZ	19	29972
MIR1470	19	61
RASAL3	19	12948
PGLYRP2	19	30312
CYP4F22	19	43825
AC011492.1	19	1495
CYP4F23P	19	20636
AD000091.1	19	287
RPL23AP2	19	466
AC093072.1	19	1307
CYP4F8	19	15421
CYP4F3	19	21929
CYP4F10P	19	5721
CYP4F12	19	24418
OR10H2	19	1041
OR10H3	19	951
CYP4F24P	19	19669
AC004597.1	19	10454
OR10H5	19	1132
OR10H1	19	1124
ZNF861P	19	2002
LINC01764	19	8809
UCA1	19;19	7360
LINC01835	19	12912
CYP4F36P	19	186
CYP4F2	19	20098
AC005336.2	19	939
AC005336.3	19	2679
AC005336.1	19	1243
CYP4F11	19	22501
OR10H4	19	951
CYP4F9P	19	19186
LINC00661	19	12176
AC004790.2	19	572
LINC00905	19	10810
SNX33P1	19	1762
AC004790.1	19	1447
OR1AB1P	19	761
LINC01855	19	576
TPM4	19	35985
AC008894.3	19	3103
AC008894.1	19	494
RAB8A	19	22606
AC008894.2	19	16232
HSH2D	19	24548
CIB3	19	12158
FAM32A	19	6667
AC020911.1	19	3183
AP1M1	19	48330
AC020911.2	19	41156
KLF2	19	3058
AC020917.3	19	721
EPS15L1	19	116847
AC020917.4	19	1999
AC020917.1	19	893
AC020917.2	19	2639
CALR3	19	17136
AC008764.1	19	149138
C19orf44	19	25042
CHERP	19	24642
RN7SL146P	19	297
AC008764.6	19	2069
SLC35E1	19	22552
AC008764.3	19	556
AC008764.5	19	780
AC008764.8	19	2717
MED26	19	54156
AC008764.4	19	82474
AC008764.9	19	2505
AC008764.7	19	1081
AC008764.10	19	1830
AC008764.2	19	26121
AC024075.3	19	13200
SMIM7	19	29692
AC024075.2	19	1473
AC024075.1	19	702
TMEM38A	19	28903
AC008737.2	19	118
NWD1	19	97988
AC008737.3	19	289
SIN3B	19	50954
AC008737.1	19	2449
F2RL3	19	3747
CPAMD8	19	133869
RN7SL835P	19	262
RN7SL823P	19	295
AC020908.2	19	4272
HAUS8	19	25897
AC020908.1	19	3094
MYO9B	19	138757
AC020908.3	19	3890
AC020913.1	19	15464
AC020913.3	19	966
AC020913.2	19	873
USE1	19	4484
OCEL1	19	3016
NR2F6	19	14058
AC010646.1	19	19509
USHBP1	19	33611
BABAM1	19	13900
AC010463.1	19	15549
ANKLE1	19	6002
ABHD8	19	18106
MRPL34	19	14235
AC010463.3	19	500
DDA1	19	13784
ANO8	19	11607
GTPBP3	19	7816
PLVAP	19	25903
AC010463.2	19	1822
CCDC194	19	3650
BST2	19	2710
BISPR	19	13211
MVB12A	19	28003
AC010319.4	19	8068
AC010319.1	19	1258
AC010319.3	19	470
TMEM221	19	13059
AC010319.2	19	24194
AC010319.5	19	759
NXNL1	19	5530
SLC27A1	19	37400
AC010618.3	19	22900
PGLS	19	9660
AC010618.2	19	2236
FAM129C	19	30539
COLGALT1	19	27569
AC010618.1	19	477
UNC13A	19	87038
AC008761.2	19	709
AC008761.3	19	892
MAP1S	19	15275
AC008761.1	19	6674
FCHO1	19	40851
B3GNT3	19	18255
INSL3	19	5063
JAK3	19	23292
RPL18A	19	4278
AC005796.1	19	433
SLC5A5	19	23202
CCDC124	19	10976
KCNN1	19	48788
RNA5SP468	19	93
ARRDC2	19	12971
AC020904.3	19	442
AC020904.2	19	9697
AC020904.1	19	729
RPS18P13	19	454
IL12RB1	19	39950
MAST3	19	53900
AC007192.2	19	7170
PIK3R2	19	17423
AC007192.1	19	24960
IFI30	19	4956
MPV17L2	19	3767
RAB3A	19	7291
AC005759.1	19	15751
PDE4C	19	47459
KIAA1683	19	17413
JUND	19	1863
MIR3188	19	85
RPL39P38	19	153
LSM4	19	17045
RN7SL513P	19	298
PGPEP1	19	29364
GDF15	19	14446
MIR3189	19	73
LRRC25	19	6474
SSBP4	19	15699
ISYNA1	19	3914
AC010335.1	19	2179
ELL	19	79465
AC010335.2	19	528
AC010335.3	19	531
AC005387.1	19	1020
FKBP8	19	12327
AC005387.2	19	3281
KXD1	19	11626
AC005253.1	19	3786
AC005253.2	19	870
UBA52	19	5821
CRLF1	19	35522
C19orf60	19	3652
TMEM59L	19	13610
RN7SL155P	19	263
KLHL26	19	34750
CRTC1	19	98657
COMP	19	8542
UPF1	19	36299
GDF1	19	27552
CERS1	19	28183
AC005197.1	19	1697
COPE	19	19884
AC002985.1	19	27385
DDX49	19	8959
HOMER3	19	12061
AC002985.2	19	6510
RN7SL70P	19	302
SUGP2	19	43136
ARMC6	19	26737
SLC25A42	19	48890
TMEM161A	19	19345
BORCS8-MEF2B	19	46592
MEF2B	19	24722
BORCS8	19	15689
RFXANK	19	9641
NR2C2AP	19	2009
NCAN	19	40261
RNU6-1028P	19	93
AC138430.1	19	18622
AC138430.2	19	504
HAPLN4	19	7156
TM6SF2	19	9028
SUGP1	19	44827
MAU2	19	38075
GATAD2A	19	123106
AC092067.1	19	625
MIR640	19	96
TSSK6	19	3268
NDUFA13	19	13319
AC011448.1	19	19850
YJEFN3	19	8721
CILP2	19	8412
PBX4	19	57210
PHF5CP	19	325
AC002306.1	19	2311
LPAR2	19	5263
GMIP	19	14192
ATP13A1	19	18496
ZNF101	19	14714
AC011458.2	19	207
AC011458.1	19	1501
ZNF14	19	22627
AC011477.7	19	9244
AC011477.6	19	1927
LINC00663	19	19058
AC011477.4	19	60679
AC011477.5	19	259
AC011477.1	19	59472
ZNF506	19	35913
AC011477.2	19	1777
BNIP3P9	19	553
ZNF253	19	28789
BNIP3P10	19	577
AC011477.3	19	3415
ZNF93	19	34663
AC007204.1	19	62497
AC007204.2	19	879
AC007204.3	19	1421
ZNF682	19	42449
AC006539.2	19	889
AC006539.3	19	129
BNIP3P13	19	566
ZNF90	19	49083
AC006539.1	19	722
AC011447.5	19	564
AC011447.1	19	441
AC011447.3	19	195929
AC011447.2	19	20015
BNIP3P15	19	301
ZNF486	19	33263
BNIP3P16	19	2051
AC011447.4	19	111
AC011447.6	19	2598
AC011447.7	19	1590
BNIP3P17	19	595
AC078899.3	19	1244
AC078899.1	19	1699
BNIP3P18	19	575
AC078899.4	19	8706
BNIP3P19	19	577
AC078899.5	19	1397
ZNF826P	19	84701
BNIP3P20	19	578
AC078899.2	19	1032
MIR1270	19	83
BNIP3P22	19	556
AC008554.1	19	96064
BNIP3P23	19	511
ZNF737	19	29985
AC010636.2	19	107792
VN1R78P	19	564
AC010636.1	19	3831
ZNF626	19	41536
AC010329.5	19	21611
AC010329.2	19	6280
AC010329.1	19	8328
VN1R79P	19	513
ZNF66	19	31019
BNIP3P24	19	557
AC008739.2	19	8903
ZNF85	19	27476
AC008739.5	19	1938
KRT18P40	19	4084
AC008739.1	19	10949
ZNF430	19	39431
AC008739.3	19	127
VN1R80P	19	338
ZNF714	19	43112
RNA5SP469	19	109
VN1R81P	19	372
ZNF431	19	54030
RPL7AP10	19	791
VN1R82P	19	356
AC010620.1	19	1102
AC010620.2	19	20144
RPL36AP51	19	318
AC022432.1	19	310
VN1R83P	19	445
ZNF708	19	38266
BNIP3P25	19	559
ZNF738	19	20373
AC010615.3	19	702
AC010615.1	19	4313
ZNF493	19	30455
AC010615.4	19	86108
AC010615.2	19	19668
LINC00664	19	19865
ZNF429	19	59589
BNIP3P26	19	554
AC123912.1	19	14598
AC123912.4	19	16501
AC123912.2	19	7197
AC123912.6	19	315
AC123912.5	19	343
AC123912.3	19	18327
MTDHP3	19	672
MTDHP4	19	670
VN1R84P	19	235
ZNF100	19	44863
AC092364.2	19	2692
AC092364.1	19	25089
BRI3BPP1	19	787
ZNF43	19	47177
BNIP3P27	19	767
ZNF208	19	77992
MTDHP2	19	714
AC003973.3	19	2822
BNIP3P28	19	1193
AC003973.2	19	18357
AC003973.1	19	6506
ZNF257	19	39029
BNIP3P29	19	571
ZNF92P2	19	1692
AC073539.2	19	165
PCGF7P	19	1051
MTDHP5	19	586
VN1R85P	19	426
ZNF676	19	17861
BNIP3P30	19	876
AC073539.7	19	28
AC073539.1	19	2094
AC073539.3	19	1643
ZNF729	19	30769
BNIP3P31	19	892
AC011494.1	19	237
RPL34P34	19	354
ZNF98	19	141467
AC011516.1	19	3533
BNIP3P32	19	844
AC025811.1	19	472
BNIP3P33	19	884
ZNF209P	19	9115
AC004004.1	19	250
AC011467.1	19	6955
LINC01233	19	869
RNU6-1179P	19	107
AC011467.6	19	685
GOLGA2P9	19	7294
RN7SL860P	19	223
AC011467.3	19	5233
AC011467.4	19	2473
AC011467.5	19	996
LINC01785	19	8415
AC011467.2	19	242
ZNF492	19	33347
AC024563.1	19	51440
ZNF849P	19	1566
RPL34P33	19	334
AC024563.2	19	481
VN1R87P	19	487
ZNF99	19	31925
AC008626.2	19	248
AC008626.1	19	255
BNIP3P34	19	572
ZNF723	19	27222
BNIP3P35	19	490
VN1R88P	19	292
AC022145.1	19	7204
AC022145.2	19	171
ZNF728	19	27709
BNIP3P36	19	880
LINC01859	19	8623
LINC01858	19	14795
AC074135.2	19	3004
AC074135.1	19	25161
ZNF730	19	72010
BNIP3P37	19	901
AC124856.1	19	2879
SNX6P1	19	1224
AC092329.2	19	547
ZNF724	19	28792
AC092329.3	19	51467
BNIP3P38	19	544
IPO5P1	19	2887
AC092329.1	19	16978
AC092329.4	19	14346
VN1R90P	19	726
VN1R91P	19	169
ZNF91	19	90570
AC010300.1	19	5134
BNIP3P8	19	560
CDC42EP3P1	19	764
LINC01224	19	16843
VN1R92P	19	928
AC074140.1	19	707
AC011493.1	19	20229
ZNF675	19	161590
AC073544.1	19	2038
RPS27P29	19	252
AC073544.2	19	540
ZNF681	19	19697
AC139769.1	19	70371
BNIP3P39	19	554
AC139769.2	19	57103
RPSAP58	19	888
AC139769.3	19	682
ZNF726	19	30284
AC011503.1	19	38850
AC011503.2	19	1500
ZNF92P3	19	954
RNA5-8SP4	19	150
ZNF254	19	96557
AC092279.1	19	33465
AC092279.2	19	2189
BNIP3P40	19	556
AC073534.2	19	381
AC073534.1	19	1056
ERVK-28	19	8001
AC112702.1	19	366
LINC00662	19	109361
AC006504.1	19	3666
AC006504.5	19	125401
AC006504.7	19	191497
AC006504.8	19	635
AC006504.3	19	523
SLC25A1P5	19	783
AC006504.2	19	39493
AC006504.4	19	6433
AC005357.2	19	82149
AC006504.6	19	199
AC005758.1	19	10428
AC005357.1	19	301
AC010511.1	19	60164
AC020905.1	19	19408
AC005580.1	19	69500
AC093074.1	19	1578
AC005307.1	19	11008
AC005394.2	19	292293
AC005381.1	19	98218
AC005394.1	19	140865
AC005616.1	19	9491
AC079466.2	19	45925
AC079466.1	19	8542
AC005524.1	19	44707
MAN1A2P1	19	2060
AC007795.1	19	9375
AC008991.1	19	69816
AC008991.2	19	3019
AC011524.1	19	764
AC011524.2	19	4438
LINC00906	19	5744
RNA5SP470	19	106
LINC01532	19	11401
UQCRFS1	19	8221
AC007786.1	19	2581
AC007786.2	19	803
AC007786.3	19	596
RN7SL340P	19	296
AC011474.1	19	238742
AC011474.3	19	343
AC011474.2	19	37174
AC011474.4	19	2076
VSTM2B	19	37981
POP4	19	13221
PLEKHF1	19	10402
C19orf12	19	16904
CCNE1	19	12411
AC008798.1	19	174
AC008507.5	19	1969
AC008507.3	19	472
URI1	19	92965
RPL9P32	19	620
AC008507.2	19	1176
AC008507.4	19	127
AC008507.1	19	734
AC005597.1	19	9050
ZNF536	19	485249
AC011504.1	19	4103
AC011478.1	19	3374
AC011507.1	19	21533
LINC01834	19	1957
AC020897.1	19	10611
AC020912.1	19	47678
LINC01791	19	40148
TSHZ3	19	74603
AC025809.1	19	68914
AC025809.2	19	1802
AC008992.1	19	5306
AC008794.2	19	779
AC008794.1	19	12759
AC011525.1	19	7681
AC011525.2	19	5586
RNA5SP471	19	106
RNU6-967P	19	108
LINC01837	19	212980
AC011456.1	19	21581
LINC01533	19	31004
LINC01782	19	3829
AC011518.1	19	2955
RNA5SP472	19	119
ZNF507	19	42074
AC007773.1	19	15511
DPY19L3	19	80353
PDCD5	19	6385
ANKRD27	19	79591
SNORA68B	19	133
RPS12P31	19	398
RN7SL789P	19	293
AC008474.1	19	6913
RGS9BP	19	2894
AC008736.1	19	4662
NUDT19	19	21836
AC008736.2	19	1298
TDRD12	19	109828
AC008805.1	19	364
SLC7A9	19	39258
AC008805.2	19	1874
RN7SKP22	19	293
CEP89	19	96067
RPL31P60	19	367
FAAP24	19	6014
RHPN2	19	86296
AC008521.1	19	187
AC008521.2	19	259
GPATCH1	19	49663
WDR88	19	43706
LRP3	19	31265
AC008738.1	19	596
AC008738.7	19	511
SLC7A10	19	17187
AC008738.4	19	3354
AC008738.6	19	1762
CEBPA	19	2631
AC008738.3	19	1235
AC008738.5	19	662
CEBPA-AS1	19	2198
AC008738.2	19	4352
RPS3AP50	19	1299
AKR1B1P7	19	952
CEBPG	19	9357
PEPD	19	134845
AC010485.1	19	1903
RPL21P131	19	483
CHST8	19	151555
KCTD15	19	19831
AC008556.1	19	2040
RN7SL150P	19	262
RPS4XP23	19	237
RPS4XP20	19	772
RPS4XP21	19	750
CHCHD2P3	19	451
LSM14A	19	57012
KIAA0355	19	101050
RPL29P33	19	316
AC010504.1	19	11057
GPI	19	42677
AC092073.1	19	13050
PDCD2L	19	21785
RN7SL154P	19	324
AC008747.1	19	2162
UBA2	19	42900
WTIP	19	30667
RPS26P55	19	658
ZNF807	19	2934
SCGB1B2P	19	969
SCGB2B2	19	82371
AC020910.3	19	874
AC020910.1	19	2568
AC020910.6	19	1459
SCGB2B3P	19	409
AC020910.5	19	1865
ZNF302	19	8759
AC020910.4	19	540
ZNF181	19	11224
ZNF599	19	15154
AC020910.2	19	610
LINC01801	19	44288
AC008555.1	19	2757
AC008555.7	19	583
AC008555.2	19	17416
AC008555.5	19	11299
AC008555.4	19	568
LINC00904	19	6915
AC008555.3	19	1994
AC008555.6	19	666
LINC01838	19	2874
ZNF30-AS1	19	3514
ZNF30	19	18268
AC008555.8	19	2168
ZNF792	19	7696
GRAMD1A	19	31688
AC020907.3	19	1938
AC020907.4	19	10375
SCN1B	19	9984
HPN	19	26066
HPN-AS1	19	47246
AC020907.1	19	1350
FXYD3	19	8446
MIR6887	19	65
LGI4	19	17939
AC020907.5	19	1936
FXYD1	19	4302
AC020907.2	19	12513
FXYD7	19	11052
FXYD5	19	15154
FAM187B	19	3930
FAM187B2P	19	713
LSR	19	19635
AC002128.2	19	2200
AC002128.1	19	1959
USF2	19	10844
HAMP	19	4428
MAG	19	21680
CD22	19	28095
U62631.1	19	1078
MIR5196	19	115
FFAR1	19	2311
FFAR3	19	2026
GPR42	19	2034
EEF1A1P7	19	1881
LINC01531	19	19875
AC002511.3	19	724
RN7SL491P	19	269
AC002511.2	19	591
AC002511.1	19	1686
FFAR2	19	7861
KRTDAP	19	8235
DMKN	19	16439
SBSN	19	4985
GAPDHS	19	11905
TMEM147-AS1	19	5292
TMEM147	19	1932
ATP4A	19	13616
AD000090.1	19	23999
AC002115.2	19	1037
LINC01766	19	3595
AC002115.1	19	4382
HAUS5	19	12606
RBM42	19	8657
ETV2	19	3127
COX6B1	19	10639
UPK1A	19	11968
UPK1A-AS1	19	5344
TYMSP2	19	424
ZBTB32	19	12512
KMT2B	19	20860
IGFLR1	19	3653
AD000671.2	19	6181
U2AF1L4	19	2982
PSENEN	19	2406
AD000671.1	19	8842
AD000671.3	19	6359
LIN37	19	6159
AC002398.2	19	925
HSPB6	19	3511
PROSER3	19	12886
AC002398.1	19	1885
ARHGAP33	19	14291
LINC01529	19	12206
PRODH2	19	13312
NPHS1	19	43324
KIRREL2	19	11249
APLP1	19	11893
RN7SL402P	19	264
NFKBID	19	14651
AD000864.1	19	2295
HCST	19	1898
TYROBP	19	3895
LRFN3	19	10410
AF038458.3	19	12078
AF038458.1	19	262
AF038458.2	19	3552
SDHAF1	19	1117
SYNE4	19	5487
AC002116.1	19	5598
ALKBH6	19	5120
AC002116.2	19	31465
CLIP3	19	18684
THAP8	19	19778
WDR62	19	50226
AD000813.1	19	832
OVOL3	19	2561
POLR2I	19	1637
TBCB	19	11659
AD001527.2	19	785
CAPNS1	19	10779
AD001527.1	19	4268
COX7A1	19	1948
AC002984.1	19	448
ZNF565	19	64198
ZNF146	19	24173
AC012617.1	19	8089
LINC00665	19	18652
ZFP14	19	44747
AC092296.1	19	805
AC092296.3	19	1562
ZFP82	19	35537
AC092296.2	19	999
ZNF566	19	44784
AC092295.2	19	1392
CTBP2P7	19	1244
ZNF260	19	17966
AC092295.1	19	6918
ZNF529	19	70503
ZNF529-AS1	19	21639
ZNF382	19	29297
ZNF461	19	29662
AC074138.1	19	1303
LINC01534	19	2010
ZNF567	19	40090
ZNF850	19	58443
AC020928.1	19	3926
AC020928.2	19	2197
ZNF790-AS1	19	30598
ZNF790	19	33360
ZNF345	19	62669
ZNF829	19	28168
RPL31P61	19	376
ZNF568	19	82372
ZNF420	19	122458
AC010632.3	19	369
AC010632.1	19	3493
AC010632.2	19	1224
AC012309.1	19	117494
ZNF585A	19	66008
AC012309.2	19	12962
ZNF585B	19	36575
ZNF383	19	30813
LINC01535	19	13624
AC016590.1	19	5580
HKR1	19	56529
AC016590.3	19	753
AC016590.2	19	508
ZNF527	19	22006
AC008806.1	19	2443
ZNF569	19	58121
ZNF570	19	21068
ZNF793-AS1	19	9888
AC022148.2	19	560
ZNF793	19	41824
AC022148.1	19	3702
ZNF571-AS1	19	38435
ZNF540	19	62692
ZNF571	19	40009
ZFP30	19	78589
ZNF781	19	24572
AC093227.3	19	29324
AC093227.2	19	285
ZNF607	19	23428
AC093227.1	19	2058
ZNF573	19	81468
AC016582.2	19	13180
AC016582.3	19	14802
AC016582.1	19	31494
WDR87	19	21855
SIPA1L3	19	301145
AC008395.1	19	938
AC011465.1	19	1034
AC011479.3	19	1890
AC011479.2	19	1099
RN7SL663P	19	299
DPF1	19	18709
SPINT2	19	48580
PPP1R14A	19	5355
AC011479.1	19	15760
C19orf33	19	849
YIF1B	19	12170
KCNK6	19	12233
CATSPERG	19	35169
AC005625.1	19	690
PSMD8	19	9289
GGN	19	3818
AC005789.1	19	1238
SPRED3	19	11167
FAM98C	19	5954
RASGRP4	19	17255
RYR1	19	153866
AC067969.2	19	1602
AC067969.1	19	1612
MAP4K1	19	31242
AC008649.1	19	5349
EIF3K	19	17874
ACTN4	19	83935
AC008649.2	19	9734
CAPN12	19	39718
AC022144.1	19	1580
LGALS7	19	2522
LGALS7B	19	2539
RNU6-140P	19	108
LGALS4	19	11694
ECH1	19	16584
AC008982.1	19	22708
AC104534.1	19	3058
HNRNPL	19	15960
AC008982.2	19	771
RINL	19	10446
AC011455.1	19	3605
SIRT2	19	21308
NFKBIB	19	9194
CCER2	19	3179
SARS2	19	15631
AC011455.3	19	34452
MRPS12	19	2615
AC011455.2	19	3336
FBXO17	19	34510
FBXO27	19	42072
AC010605.1	19	888
ACP7	19	27581
PAK4	19	57047
AC011443.1	19	1582
NCCRP1	19	4924
SYCN	19	1436
IFNL3P1	19	861
IFNL3	19	1577
IFNL4	19	2543
MSRB1P1	19	354
IFNL4P1	19	1436
IFNL2	19	1579
IFNL1	19	2349
LRFN1	19	8769
AC011445.1	19	6208
GMFG	19	14020
AC011445.2	19	173
SAMD4B	19	43315
RN7SL566P	19	296
PAF1	19	5344
MED29	19	9335
ZFP36	19	2600
MIR4530	19	56
PLEKHG2	19	15831
RPS16	19	2742
SUPT5H	19	40515
TIMM50	19	13374
DLL3	19	9587
SELENOV	19	5574
EID2B	19	1865
AC011500.3	19	2011
TDGF1P7	19	559
EID2	19	1629
AC011500.2	19	2323
AC011500.1	19	2448
RPS29P24	19	171
RPS29P25	19	171
RPS29P26	19	171
LGALS13	19	4976
AC005176.2	19	147
AC005176.1	19	3717
RPS29P30	19	111
LGALS16	19	4754
LGALS17A	19	7000
AC005515.1	19	9334
AC093063.1	19	2334
RPS29P27	19	170
LGALS14	19	5139
AC006133.1	19	746
CLC	19	6779
LEUTX	19	9573
AC005393.1	19	584
DYRK1B	19	8852
MIR6719	19	87
FBL	19	11957
FCGBP	19	71304
PRR13P5	19	442
PSMC4	19	10437
ZNF546	19	36908
AC007842.1	19	2119
ZNF780B	19	27950
AC005614.2	19	42169
ZNF780A	19	21787
AC005614.1	19	3653
VN1R96P	19	858
MAP3K10	19	23832
TTC9B	19	2342
CNTD2	19	4483
AKT2	19	55220
AC118344.1	19	1991
MIR641	19	99
RNU6-945P	19	107
C19orf47	19	28992
PLD3	19	31984
AC118344.2	19	4765
MIR6796	19	62
HIPK4	19	10917
PRX	19	19599
SERTAD1	19	4434
AC010271.2	19	588
SERTAD3	19	3862
AC010271.1	19	652
BLVRB	19	18052
SPTBN4	19	110224
SHKBP1	19	14549
LTBP4	19	36936
NUMBL	19	25068
COQ8B	19	26679
RNU6-195P	19	109
ITPKC	19	23758
C19orf54	19	10698
SNRPA	19	14753
MIA-RAB4B	19	15038
MIA	19	5843
RAB4B	19	18723
RAB4B-EGLN2	19	29957
AC008537.4	19	17164
EGLN2	19	9438
AC008537.1	19	96986
CYP2T1P	19	2866
CYP2F2P	19	8052
AC008537.2	19	5990
AC008537.3	19	1881
CYP2A6	19	6910
CYP2A7	19	7314
CYP2G1P	19	9683
CYP2A7P2	19	2206
CYP2B7P	19	26442
AC092071.1	19	1104
CYP2B6	19	27100
CYP2A7P1	19	3453
CYP2G2P	19	11996
AC008962.1	19	304
CYP2A13	19	7724
CYP2F1	19	13935
CYP2T3P	19	2587
RPL36P16	19	306
RN7SL718P	19	303
CYP2S1	19	14491
AXL	19	42564
AC011510.1	19	626
HNRNPUL1	19	45103
RN7SL34P	19	270
TGFB1	19	52325
CCDC97	19	14695
AC011462.1	19	74149
TMEM91	19	33173
B9D2	19	9753
AC011462.4	19	449
EXOSC5	19	11106
BCKDHA	19	27546
AC011462.3	19	994
B3GNT8	19	3372
AC011462.2	19	879
ATP5SL	19	9400
ERICH4	19	1608
PCAT19	19	46481
AC243960.2	19	747
PLEKHA3P1	19	947
AC243960.3	19	969
LINC01480	19	1722
AC243960.1	19	10271
CEACAM21	19	37327
AC243960.7	19	707
CEACAMP3	19	6250
DNAJC19P2	19	331
CEACAM4	19	8104
DNAJC19P3	19	331
AC243960.5	19	944
AC243960.4	19	288
CEACAM7	19	33670
CEACAM5	19	21214
AC243967.1	19	52671
CEACAM6	19	21232
AC243967.2	19	28996
CEACAM3	19	15117
HNRNPA1P52	19	1247
AC243967.3	19	2265
LYPD4	19	7624
DMRTC2	19	7591
RPS19	19	13009
MIR6797	19	72
CD79A	19	4253
ARHGEF1	19	46990
AC010616.1	19	20812
RABAC1	19	2710
ATP1A3	19	30916
GRIK5	19	71178
ZNF574	19	13073
POU2F2	19	110476
AC010247.1	19	4545
MIR4323	19	69
AC010247.2	19	4955
DEDD2	19	21543
ZNF526	19	7931
GSK3A	19	12440
AC006486.1	19	20550
AC006486.2	19	2199
ERF	19	7586
CIC	19	27261
PAFAH1B3	19	6514
PRR19	19	8724
TMEM145	19	11738
MEGF8	19	53161
MIR8077	19	75
CNFN	19	3269
LIPE-AS1	19	255228
LIPE	19	25920
AC011497.1	19	688
CXCL17	19	14761
RNU4-60P	19	135
AC011497.2	19	639
CEACAM1	19	53931
CEACAMP2	19	1318
CEACAM8	19	14815
CEACAMP1	19	12823
CEACAMP5	19	14877
RPS10P28	19	812
PSG3	19	18932
PSG8	19	103006
CEACAMP6	19	5390
PSG8-AS1	19	5016
PSG10P	19	16351
PSG1	19	13359
PSG6	19	17485
PSG7	19	13047
CEACAMP7	19	885
AC004784.1	19	194053
PSG11	19	18857
CEACAMP8	19	5380
PSG2	19	18835
CEACAMP9	19	905
AC005392.1	19	7584
PSG5	19	20281
